Time,X1_um,Y1_um,Z1_um,X2_um,Y2_um,Z2_um
0.284,729.844382219316,-1943.72332084629,-729.844382219324,-661.527563721752,-1992.15053308115,661.527563721754
0.288,740.684568491905,-1970.92253975646,-740.684568491907,-670.410220572008,-2020.73326620541,670.410220572013
0.291,748.823519070421,-1991.31492670601,-748.823519070435,-677.062951481906,-2042.17606807488,677.062951481906
0.294,756.97001934753,-2011.70128409996,-756.970019347537,-683.707741740938,-2063.6237937199,683.707741740942
0.298,767.843759831886,-2038.87370498868,-767.843759831903,-692.555106813965,-2092.2284102884,692.555106813959
0.301,776.00786738289,-2059.24597168417,-776.007867382895,-699.181361805926,-2113.68760187076,699.181361805929
0.304,784.179517179337,-2079.61219019771,-784.179517179347,-705.799670082233,-2135.15169762059,705.799670082243
0.308,795.086778750467,-2106.75773028107,-795.086778750474,-714.61171642339,-2163.77811048628,714.611716423389
0.311,803.276018403336,-2127.10981465609,-803.276018403342,-721.211475309694,-2185.25362640383,721.211475309695
0.314,811.472792825549,-2147.45583224121,-811.472792825557,-727.80328143976,-2206.7340268658,727.803281439763
0.318,822.413542256296,-2174.57440881717,-822.413542256307,-736.579982202015,-2235.38214881527,736.579982202015
0.321,830.627889063892,-2194.90624886672,-830.627889063901,-743.153224875649,-2256.87392364052,743.153224875649
0.324,838.849763141764,-2215.23200353694,-838.849763141767,-749.718508776684,-2278.37056337231,749.718508776687
0.328,849.823967102942,-2242.32353398565,-849.82396710295,-758.459837220692,-2307.04030712597,758.459837220695
0.331,858.063396041622,-2262.63506776651,-858.063396041631,-765.006543655404,-2328.54827538193,765.006543655409
0.334,866.310344728588,-2282.94049759702,-866.310344728591,-771.545285325421,-2350.06108889171,771.545285325428
0.338,877.317969789113,-2310.00489938103,-877.317969789124,-780.251214819602,-2378.75236710412,780.251214819603
0.341,885.582455758822,-2330.29606501171,-885.582455758836,-786.771365070021,-2400.27646326448,786.77136507002
0.344,893.854453931916,-2350.58110813975,-893.854453931923,-793.283544587894,-2421.80538501117,793.283544587892
0.348,904.895466558912,-2377.61829880422,-904.895466558919,-801.954048608486,-2450.51811027128,801.954048608488
0.351,913.18498438326,-2397.88903446535,-913.184984383258,-808.447622810113,-2472.05826876059,808.447622810119
0.355,924.249348300203,-2424.90712832991,-924.249348300212,-817.093313275355,-2500.78595490954,817.093313275354
0.358,932.556373402015,-2445.16352626318,-932.556373402021,-823.568272466817,-2522.33731798548,823.568272466816
0.361,940.870897828371,-2465.41377019763,-940.870897828371,-830.035250836129,-2543.89347317933,830.035250836133
0.365,951.968592072441,-2492.40451295988,-951.968592072449,-838.645470985139,-2572.6424576274,838.645470985138
0.368,960.300606054069,-2512.64037597358,-960.300606054079,-845.09382054402,-2594.20977144181,845.093820544021
0.371,968.640111753592,-2532.87006648664,-968.640111753599,-851.534183378522,-2615.78185766708,851.534183378522
0.375,979.771102517499,-2559.83337591608,-979.771102517507,-860.108906979129,-2644.55205282744,860.108906979133
0.378,988.128079996833,-2580.04864235935,-988.128079996841,-866.530627259679,-2666.13525167319,866.530627259689
0.381,996.492541564597,-2600.25771781892,-996.492541564601,-872.944354937941,-2687.72320320823,872.944354937946
0.385,1007.65679493961,-2627.19351176879,-1007.65679493961,-881.483555866112,-2716.5145214294,881.483555866112
0.388,1016.03871045848,-2647.38812005343,-1016.03871045849,-887.878627303711,-2738.11353955099,887.878627303713
0.391,1024.42810241353,-2667.57651889022,-1024.42810241353,-894.26570028546,-2759.7172906258,894.26570028546
0.395,1035.62558438957,-2694.48471529742,-1035.62558438957,-902.769352525375,-2788.529644192,902.769352525378
0.398,1044.03241241386,-2714.65860389827,-1044.03241241386,-909.137755636585,-2810.14441578573,909.137755636586
0.401,1052.44670919928,-2734.82626460599,-1052.44670919928,-915.498154462742,-2831.76390058218,915.498154462755
0.405,1063.67738566505,-2761.7067814916,-1063.67738566506,-923.966232106888,-2860.59720171347,923.966232106891
